x,y,result
88.79,157.89,out
152.4,110.50999999999999,out
176.48,193.19,hit
90.38,170.28,hit
108.86,160.37,hit
99.19,78.77000000000001,out
121.57,59.41,out
161.73,209.69,hit
160.74,162.32,out
86.73,97.52000000000001,out
223.69,179.61,hit
103.64,173.11,hit
110.0,145.4,hit
141.87,99.38999999999999,out
111.37,167.9,hit
124.3,152.72,out
131.72,123.72,out
204.81,155.69,hit
189.14,130.3,hit
170.13,164.36,out
126.36,93.96000000000001,out
176.07,157.7,out
120.71,103.94,out
117.0,119.88999999999999,out
53.39,123.03,hit
120.66,136.36,out
87.94,159.41,hit
127.35,72.9,out
68.43,126.73,out
70.35,187.32,hit
93.45,87.49000000000001,out
115.27,114.71000000000001,out
162.48,107.27000000000001,out
181.79,155.4,out
199.72,203.9,hit
111.57,149.69,hit
158.78,87.99000000000001,out
100.14,177.22,out
203.85,138.44,out
97.2,112.50999999999999,out
126.15,111.27000000000001,out
136.24,72.99000000000001,out
164.3,139.39,hit
101.14,144.85,out
122.41,117.33000000000001,out
191.08,161.91,hit
165.48,183.73000000000002,hit
94.28,90.6,out
153.39,84.24000000000001,out
133.5,115.97,out
155.84,135.42000000000002,hit
115.81,95.75,out
102.5,108.30000000000001,out
66.43,132.95999999999998,hit
109.88,134.22,hit
106.73,106.53,out
99.52,113.43,out
127.24,75.38,out
104.49,142.38,out
65.06,146.39,hit
79.86,204.5,hit
112.18,93.33000000000001,out
101.03,85.88999999999999,out
145.68,78.77000000000001,out
146.04,97.02000000000001,out
84.8,66.06,out
179.25,123.53,out
100.67,165.62,hit
136.32,76.18,out
100.52,174.34,out
193.15,161.09,out
73.13,136.72,hit
70.59,169.76999999999998,out
118.57,107.16,out
133.74,186.32999999999998,hit
94.6,185.59,out
128.57,98.28999999999999,out
179.8,105.72,hit
231.42,154.51999999999998,hit
142.13,104.19,out
120.81,137.82,hit
135.75,171.04000000000002,out
141.62,105.71000000000001,out
137.56,108.25999999999999,out
127.29,69.75,out
153.08,109.65,out
181.48,162.82999999999998,out
108.13,100.12,out
125.0,175.97,out
176.62,156.68,out
46.01,171.11,hit
71.15,131.24,hit
155.33,95.53999999999999,out
145.68,78.25999999999999,out
122.83,56.21000000000001,out
41.96,145.56,hit
107.12,95.03999999999999,out
120.31,97.07,out
139.45,155.62,out
116.87,105.88999999999999,out
161.5,184.20999999999998,hit
156.66,152.38,out
105.09,79.78999999999999,out
191.11,166.07,out
74.04,116.66999999999999,hit
90.34,129.01,out
115.2,98.4,out
161.35,81.49000000000001,out
101.19,99.19999999999999,out
163.17,82.85,out
98.83,122.13,out
138.31,80.38,out
141.47,84.50999999999999,hit
162.28,85.66,out
93.28,93.53999999999999,out
95.75,90.50999999999999,hit
201.8,158.54000000000002,out
163.86,211.42000000000002,hit
110.26,122.86,out
109.93,104.97,out
85.03,192.88,hit
90.76,106.02000000000001,out
75.48,152.7,out
144.29,203.54,out
82.4,145.01999999999998,out
152.23,164.76999999999998,hit
145.46,104.18,out
60.73,148.28,out
106.42,88.19,out
192.45,141.22,out
116.96,161.29000000000002,hit
156.84,96.06,out
109.68,167.74,out
127.53,64.96000000000001,out
171.39,163.82999999999998,hit
171.3,100.82,out
184.63,211.06,hit
153.01,98.86000000000001,out
207.21,138.91,hit
127.37,114.03,out
99.23,85.46000000000001,out
133.84,161.75,out
104.89,172.04000000000002,out
111.14,53.47999999999999,out
137.56,157.06,hit
121.46,189.91,out
97.76,83.07,out
168.6,91.63,out
146.84,72.25,out
170.81,123.4,hit
120.15,116.69,out
118.91,124.25,out
179.32,152.28,out
194.5,193.23,hit
153.86,139.45,hit
166.66,203.76,hit
110.14,105.27000000000001,out
197.46,154.69,out
92.63,188.79,out
92.48,138.2,out
64.93,106.02000000000001,hit
165.59,113.85,out
146.12,109.09,hit
143.24,86.25999999999999,hit
130.22,51.41999999999999,out
90.95,155.69,hit
212.39,165.59,hit
166.97,90.63999999999999,out
152.44,175.79000000000002,out
33.08,184.64,hit
97.37,105.00999999999999,out
206.72,144.24,out
140.32,169.28,hit
86.88,100.56,out
125.97,116.62,out
157.48,182.25,out
76.54,171.3,out
150.84,142.22,hit
80.35,203.99,hit
96.19,83.34,out
152.54,118.16,out
94.34,85.22999999999999,out
141.97,87.78,out
156.53,132.7,out
84.82,161.97,out
135.37,205.35,out
137.32,112.68,out
187.85,156.19,out
92.75,124.72,out
128.57,209.14,out
103.23,101.74000000000001,out
85.51,182.42000000000002,out
113.6,88.35,out
97.59,98.81,out
144.61,124.96,hit
145.9,180.56,out
140.24,98.77000000000001,out
84.91,96.97,hit
174.99,145.98000000000002,hit
101.09,82.91999999999999,out
125.39,215.13,out
137.45,192.25,out
40.67,169.07999999999998,hit
130.35,165.61,hit
139.26,97.13999999999999,out
119.76,163.89,out
163.95,132.45999999999998,hit
104.67,89.44,hit
148.72,105.37,out
174.25,130.64,hit
157.15,163.9,hit
94.1,83.18,out
81.96,129.2,hit
68.99,80.66,out
212.7,148.37,out
197.78,119.22,hit
100.09,84.84,out
141.73,89.65,out
107.84,191.03,out
123.73,58.47,out
154.44,101.63,out
162.52,119.22999999999999,out
108.0,88.0,out
111.76,124.94,hit
162.15,99.0,out
107.16,108.68,out
116.34,65.49000000000001,hit
183.92,119.19,out
144.11,151.89,out
138.09,92.28999999999999,out
177.94,126.73,hit
134.63,57.860000000000014,out
80.55,71.5,out
61.63,143.48000000000002,hit
126.69,156.65,hit
102.32,53.25999999999999,out
126.14,72.9,out
192.76,124.85,out
166.15,127.07,out
73.98,117.49000000000001,out
125.22,63.139999999999986,out
109.64,60.66999999999999,out
153.58,104.83000000000001,out
135.48,61.139999999999986,out
130.39,76.13999999999999,out
173.41,149.45999999999998,out
67.96,169.15,out
181.31,156.14,hit
117.17,115.41999999999999,out
114.78,66.22,out
233.68,153.55,hit
109.14,95.52000000000001,out
152.33,75.61000000000001,out
110.68,145.91,hit
114.38,91.56,out
136.94,67.49000000000001,out
178.32,144.63,out
157.52,91.30000000000001,out
155.41,106.21000000000001,out
78.04,93.66,hit
122.75,110.52000000000001,out
175.27,151.22,out
99.01,84.24000000000001,out
124.41,57.66999999999999,out
122.5,103.66999999999999,out
108.24,147.51999999999998,hit
152.4,85.93,out
118.24,101.66999999999999,out
99.98,139.17000000000002,hit
111.04,87.37,hit
50.01,165.95,out
139.0,141.11,hit
125.46,65.19,out
134.64,143.87,out
155.18,91.49000000000001,out
104.0,80.25,out
144.5,72.88,out
98.61,82.81,out
127.7,70.25999999999999,out
125.22,110.24000000000001,out
97.65,104.49000000000001,hit
142.43,223.11,hit
205.72,133.26999999999998,out
110.03,219.78,hit
118.41,100.78999999999999,out
106.73,97.88999999999999,out
70.53,133.93,out
160.1,98.93,hit
102.45,83.31,out
154.19,100.78,out
103.09,77.13999999999999,out
119.89,140.68,hit
96.24,93.30000000000001,out
147.18,70.07,out
68.52,135.22,hit
183.45,159.70999999999998,out
132.09,170.51,out
158.06,138.45,out
139.64,191.38,out
181.56,123.65,hit
93.69,50.69999999999999,out
143.55,110.4,out
58.73,120.80000000000001,out
128.98,75.0,out
142.37,147.91,hit
78.32,98.55000000000001,out
201.27,179.87,hit
101.1,73.13,hit
153.14,179.76,out
161.25,144.18,out
183.9,136.75,hit
216.92,180.01,hit
157.49,98.58000000000001,hit
131.5,108.28999999999999,out
96.47,165.98000000000002,hit
83.32,130.64,out
120.91,105.19,hit
127.88,79.65,out
115.72,213.06,out
97.86,168.85,out
174.68,156.24,hit
128.11,170.45,out
40.46,137.7,hit
136.66,105.19,out
108.49,77.25,out
83.68,198.62,out
205.88,186.4,hit
100.34,92.27000000000001,out
150.24,76.63999999999999,out
110.55,160.75,hit
91.58,177.13,hit
82.3,106.96000000000001,hit
121.38,174.98000000000002,out
162.06,208.52,hit
68.89,193.7,hit
137.91,112.91,out
72.72,153.12,out
170.71,150.51,out
111.77,100.1,out
153.25,101.9,out
66.01,79.49000000000001,out
103.49,159.69,out
110.41,107.37,out
94.82,163.94,out
97.94,173.04000000000002,out
168.66,86.87,out
151.63,153.53,out
161.42,202.63,out
198.34,118.41999999999999,out
149.85,97.05000000000001,out
128.87,151.98000000000002,hit
215.71,138.28,hit
73.97,112.00999999999999,hit
84.82,70.16999999999999,out
140.36,88.4,out
125.89,110.33000000000001,out
221.78,157.05,hit
116.14,181.22,out
162.68,89.4,out
82.07,128.63,hit
56.75,181.61,hit
155.64,91.44999999999999,out
134.11,90.53999999999999,out
150.44,122.25,hit
134.12,95.08000000000001,out
107.32,201.61,out
174.29,180.19,out
132.33,98.28999999999999,out
151.97,84.25999999999999,out
139.88,97.19999999999999,out
106.84,96.15,out
158.82,87.5,out
175.1,155.49,out
121.4,133.7,hit
32.36,145.91,hit
110.14,167.95999999999998,out
95.58,193.25,hit
155.6,96.69,out
242.98,186.19,hit
95.9,144.22,out
203.46,208.66,hit
88.18,130.13,out
170.4,134.20999999999998,hit
223.19,149.73000000000002,hit
71.52,104.81,hit
130.35,134.20999999999998,hit
95.62,179.92000000000002,out
123.92,137.76,hit
160.38,85.34,out
124.83,120.52000000000001,out
59.44,142.31,out
199.19,141.47,out
193.65,157.26999999999998,out
111.86,132.53,out
114.57,110.30000000000001,out
107.32,120.81,out
100.86,169.79000000000002,out
168.54,138.73000000000002,hit
222.52,145.91,hit
155.93,85.34,out
107.93,45.639999999999986,out
114.72,124.32,hit
143.53,178.16,out
52.87,126.31,out
73.75,173.39,hit
106.33,87.18,hit
148.32,79.50999999999999,out
120.55,110.41999999999999,out
124.96,133.7,hit
118.71,163.75,out
173.33,145.24,hit
101.73,225.82,hit
145.09,196.3,out
175.54,155.82999999999998,hit
135.86,111.62,out
33.77,143.23000000000002,hit
111.29,88.22,out
180.98,153.32999999999998,out
99.18,163.31,hit
114.49,187.57999999999998,out
128.91,190.52,out
177.72,150.6,out
151.68,73.50999999999999,out
158.97,172.75,hit
224.59,140.31,hit
110.14,73.59,out
117.22,103.66999999999999,out
79.98,99.53999999999999,hit
173.79,141.07,hit
128.2,94.91999999999999,out
111.63,116.1,out
130.12,67.02000000000001,out
178.13,118.94,hit
134.98,110.37,out
101.19,89.4,out
114.64,138.28,hit
203.1,148.37,out
175.18,151.63,out
127.69,52.77000000000001,out
214.36,145.88,hit
111.41,103.16,out
141.55,102.56,out
56.24,126.17,hit
106.03,187.42000000000002,out
138.38,158.64,out
100.93,86.63,out
122.86,55.639999999999986,out
175.42,129.39,out
174.01,74.66,out
104.7,100.43,out
138.52,88.68,out
143.96,102.4,out
211.27,135.56,hit
99.27,75.18,out
66.62,140.31,hit
111.74,100.24000000000001,out
135.33,60.400000000000006,out
181.65,138.28,hit
138.58,96.88999999999999,out
89.67,62.16999999999999,out
140.34,178.91,out
118.64,160.79000000000002,out
93.08,193.19,hit
83.36,186.21,hit
126.08,53.50999999999999,out
118.53,86.87,out
148.05,98.58000000000001,out
169.12,93.82,hit
82.74,88.46000000000001,out
145.78,76.88999999999999,out
103.25,79.85,out
94.76,83.41,out
50.33,142.86,out
139.91,179.51,out
125.95,96.35,hit
155.49,92.56,out
152.01,96.77000000000001,out
129.89,159.38,hit
100.0,78.41,out
199.97,140.31,hit
110.15,106.47,out
130.75,31.389999999999986,out
122.35,56.03999999999999,hit
100.02,171.3,hit
146.26,105.53,out
176.4,66.28,out
112.93,97.05000000000001,out
134.11,40.629999999999995,out
82.97,194.55,hit
139.27,89.05000000000001,out
129.1,70.68,out
84.32,149.54000000000002,hit
100.25,82.87,out
71.2,145.91,out
221.35,141.84,hit
121.94,52.27000000000001,out
200.04,166.85,out
127.11,213.09,out
112.37,165.24,hit
68.71,153.18,out
189.5,90.66,out
162.06,71.09,out
111.1,84.38,out
158.35,186.12,out
162.16,83.03999999999999,out
183.85,112.11000000000001,out
161.81,167.82999999999998,out
167.34,87.49000000000001,out
129.15,113.28,hit
81.32,153.16,out
154.97,158.5,hit
92.47,81.78,out
101.34,205.63,hit
115.62,110.78,out
114.82,180.01,out
185.43,135.22,hit
46.54,144.88,hit
97.89,86.69999999999999,out
80.36,125.06,out
107.81,111.88,out
161.91,108.94,out
142.99,107.57,out
99.28,87.91999999999999,out
115.64,168.57999999999998,out
151.94,194.24,out
59.96,165.29000000000002,out
156.37,157.72,out
132.67,69.00999999999999,out
116.85,115.69999999999999,out
151.26,106.72,out
73.03,147.36,out
106.98,103.0,out
128.83,175.43,hit
144.31,114.85,out
208.29,125.35,out
114.86,152.12,hit
101.59,89.12,out
123.08,64.72,out
78.2,166.06,hit
83.57,155.73000000000002,out
132.55,161.45999999999998,out
71.25,160.79000000000002,out
132.96,104.77000000000001,out
168.66,142.86,hit
129.42,164.32999999999998,hit
165.11,154.06,hit
167.67,147.48000000000002,hit
122.63,149.95,hit
161.52,171.31,hit
174.5,133.5,out
87.78,215.35,hit
62.89,210.5,hit
111.95,111.44,out
152.33,134.57,out
84.9,113.30000000000001,out
119.45,170.39,out
103.4,69.22999999999999,out
139.39,112.91999999999999,out
147.71,85.88999999999999,out
98.05,83.58000000000001,out
119.63,87.53,out
79.67,98.30000000000001,out
97.48,88.75,out
113.87,61.860000000000014,out
117.13,55.53,out
104.88,173.78,out
185.76,140.28,hit
133.0,57.41999999999999,out
93.94,81.25999999999999,out
103.33,100.81,out
167.19,193.25,hit
58.15,111.87,hit
103.66,185.67000000000002,out
157.55,151.17000000000002,hit
142.64,136.22,hit
151.86,134.65,hit
122.34,164.69,hit
146.46,100.63999999999999,out
152.78,210.95,out
148.72,189.6,out
85.22,165.91,hit
176.5,193.05,out
130.07,78.27000000000001,out
142.85,123.86,out
220.47,168.88,hit
138.62,115.9,out
172.13,150.07999999999998,out
134.59,64.66,out
105.08,100.47999999999999,out
156.25,119.4,out
126.44,105.37,out
213.82,162.7,hit
84.29,134.18,hit
70.46,153.43,out
129.84,192.62,out
144.37,101.74000000000001,out
103.18,99.37,out
163.45,152.19,hit
157.94,114.50999999999999,out
161.25,221.85,hit
173.56,135.89,hit
113.53,123.5,out
146.95,102.97999999999999,out
195.71,127.47,out
140.13,96.68,out
81.32,179.92000000000002,hit
133.74,115.82,out
112.33,87.16999999999999,out
116.26,119.78,out
114.19,98.91,out
88.29,103.08000000000001,out
91.55,86.16999999999999,out
105.5,104.46000000000001,out
157.35,130.12,hit
77.7,151.88,hit
119.44,136.95999999999998,out
61.62,164.23000000000002,out
185.9,141.69,out
66.79,99.53,hit
78.39,126.83,hit
84.78,148.14,hit
147.94,99.15,out
95.21,98.1,out
156.4,104.44999999999999,out
74.06,142.43,hit
81.57,156.68,hit
202.89,156.89,out
156.54,189.4,out
137.32,62.5,out
99.46,56.99000000000001,out
154.12,217.03,hit
148.22,77.75,out
195.19,155.20999999999998,out
64.82,115.94999999999999,hit
66.79,115.57,hit
154.79,89.85,out
145.53,170.1,out
70.44,114.18,hit
101.45,132.05,hit
212.19,133.79000000000002,hit
147.45,82.57,out
71.8,115.38999999999999,hit
132.79,72.18,out
161.44,99.94999999999999,out
215.46,146.32,out
140.47,103.16999999999999,out
155.5,160.89,hit
139.59,105.21000000000001,out
137.31,219.38,hit
164.18,87.1,out
119.1,107.91,out
147.68,233.53,hit
153.04,109.43,out
155.33,100.84,out
155.93,135.05,hit
112.66,199.26,out
173.78,126.67,hit
112.3,215.17000000000002,out
142.8,83.65,out
128.72,161.01,out
226.63,145.32999999999998,hit
145.73,105.11000000000001,out
145.98,155.97,out
111.89,140.59,hit
192.83,161.32,out
139.08,102.16,out
136.33,117.66,hit
121.21,110.25999999999999,out
148.32,152.14,hit
103.27,175.45,out
160.06,107.83000000000001,out
163.26,62.21000000000001,out
112.54,104.78,out
115.75,62.5,out
94.03,131.28,hit
106.41,100.25999999999999,out
28.71,168.91,hit
149.74,87.91999999999999,out
97.07,108.30000000000001,out
142.76,130.89,out
178.51,167.54000000000002,out
162.78,160.82,out
190.75,186.75,hit
117.63,98.84,out
124.76,78.36000000000001,out
118.44,104.59,out
126.4,66.57,out
136.37,156.22,hit
208.14,126.21,out
101.07,89.32,out
92.17,96.50999999999999,out
39.61,130.03,hit
182.36,164.20999999999998,out
119.98,63.30000000000001,out
104.22,114.96000000000001,out
111.37,202.59,out
99.51,136.72,hit
97.35,165.6,hit
44.05,150.56,out
148.66,84.77000000000001,out
111.7,194.55,out
120.92,150.79000000000002,out
135.01,199.1,out
151.77,85.38,out
165.29,131.4,out
173.93,144.66,hit
93.94,81.85,out
128.46,73.72,out
122.81,146.51999999999998,hit
119.27,141.01,hit
146.83,87.97999999999999,out
190.13,108.78,hit
148.7,73.31,out
144.32,153.9,hit
102.64,176.51,out
156.96,48.77000000000001,out
128.06,137.62,out
213.14,203.57999999999998,hit
172.25,122.83,hit
39.54,134.63,hit
125.77,149.18,hit
150.7,118.22,out
140.0,226.15,hit
150.49,108.47999999999999,out
123.46,66.38,out
71.57,116.62,hit
50.73,126.43,hit
98.77,75.08000000000001,out
136.15,60.91,out
122.44,145.91,hit
130.22,74.19999999999999,out
139.01,143.97,out
152.26,177.32999999999998,out
129.5,120.78,out
79.13,189.07999999999998,out
84.33,140.44,out
99.79,160.09,out
124.33,144.73000000000002,hit
116.61,96.08000000000001,out
80.67,135.82,hit
114.35,97.55000000000001,hit
218.95,148.97,hit
154.81,93.65,out
58.59,180.85,hit
97.28,86.52000000000001,out
115.7,104.78999999999999,out
132.29,139.88,hit
131.58,71.09,out
128.36,65.30000000000001,out
122.66,59.610000000000014,out
207.08,157.70999999999998,hit
125.96,74.03,out
87.66,136.45,hit
141.23,143.37,hit
64.01,190.34,hit
98.51,189.26,hit
125.4,160.01,hit
126.99,58.77000000000001,out
159.18,81.02000000000001,out
154.77,110.94999999999999,out
98.84,47.28,out
91.3,90.38999999999999,out
70.47,107.41,hit
113.29,98.58000000000001,out
195.31,133.06,hit
72.45,182.01999999999998,out
151.39,67.02000000000001,out
129.12,68.5,out
135.07,59.68000000000001,out
157.22,176.95999999999998,hit
84.89,117.44,out
49.42,183.28,hit
178.17,92.77000000000001,out
83.75,88.96000000000001,out
162.9,97.53,out
192.04,184.07999999999998,hit
128.33,67.41,out
109.37,74.66,out
62.41,187.5,hit
141.7,180.49,out
114.94,72.88,hit
105.62,125.13,out
148.18,180.81,out
111.41,92.37,out
110.31,104.41,out
143.47,94.50999999999999,out
75.22,128.86,hit
63.57,159.75,out
146.7,189.53,out
187.2,161.5,out
107.51,80.06,out
166.39,104.12,out
153.35,141.64,hit
128.03,64.91999999999999,out
152.64,82.28999999999999,out
142.96,216.15,hit
98.29,104.56,out
210.75,168.82,hit
30.05,149.72,hit
121.0,198.93,out
212.99,185.79000000000002,hit
152.64,94.0,out
115.9,144.32999999999998,hit
50.33,118.94,hit
161.23,139.05,hit
114.48,164.75,out
35.17,143.82999999999998,out
137.6,76.16,out
121.35,57.379999999999995,out
114.22,62.94,hit
136.05,144.67000000000002,hit
145.11,88.58000000000001,out
124.63,71.12,out
117.01,98.58000000000001,out
71.71,142.86,hit
104.93,84.94999999999999,out
109.88,95.52000000000001,out
115.87,145.26,hit
108.96,89.41,out
68.33,138.15,out
33.23,147.43,hit
196.69,133.49,out
97.83,88.9,out
101.36,101.47,out
98.19,94.80000000000001,out
183.91,176.14,out
146.27,103.61000000000001,out
39.81,129.91,hit
153.7,75.94,out
113.8,89.93,out
156.36,97.38,out
191.67,103.30000000000001,out
50.01,125.53,hit
34.56,147.95,hit
70.78,182.19,hit
136.77,160.47,out
145.61,102.86000000000001,out
178.82,126.57,hit
99.16,99.07,out
202.03,167.57999999999998,hit
40.49,140.07,hit
113.65,93.59,out
141.87,103.88999999999999,out
122.05,121.41,out
98.38,80.65,out
53.32,149.0,out
162.75,189.97,out
59.97,116.66,hit
134.63,60.400000000000006,out
161.37,167.24,hit
102.93,91.27000000000001,out
227.31,158.1,hit
97.31,229.85,hit
176.2,147.66,hit
149.25,69.78999999999999,out
137.26,185.51999999999998,out
92.0,87.44999999999999,out
97.94,104.57,out
119.32,108.66999999999999,out
118.21,140.69,hit
142.25,99.09,out
177.63,176.8,out
114.69,93.52000000000001,out
100.1,86.30000000000001,out
84.34,130.64,hit
190.23,213.75,hit
90.78,83.85,out
114.27,112.91,out
114.19,103.44999999999999,out
159.02,102.16999999999999,out
160.28,99.59,out
188.8,174.11,out
104.74,203.23,out
63.85,138.97,out
170.38,148.64,hit
124.06,113.53999999999999,out
131.22,186.16,out
190.83,165.19,hit
91.9,157.57,out
114.45,170.48000000000002,hit
108.06,93.68,out
93.61,87.83000000000001,out
131.12,116.50999999999999,out
169.97,209.25,hit
163.92,132.09,hit
158.36,109.27000000000001,out
151.24,85.83000000000001,out
101.47,108.12,out
75.66,207.9,hit
101.05,71.21000000000001,out
159.0,189.75,out
81.75,138.76,hit
174.28,127.7,out
170.0,128.0,hit
69.15,159.81,out
168.09,131.42000000000002,hit
174.89,143.11,out
108.77,98.72999999999999,out
197.69,171.97,out
154.52,103.28,out
114.93,107.74000000000001,out
167.0,72.0,out
132.85,156.79000000000002,hit
75.43,149.75,out
102.93,90.25999999999999,hit
126.4,70.63999999999999,out
142.42,65.87,out
108.87,150.94,hit
146.59,115.30000000000001,out
108.13,85.53,out
134.32,61.78999999999999,out
140.15,144.03,hit
93.22,179.49,hit
210.19,133.4,out
99.45,102.71000000000001,out
167.9,110.85,out
146.32,99.93,out
227.95,159.59,hit
123.24,105.72,out
99.06,191.14,out
137.37,154.06,hit
154.26,177.11,out
161.46,103.6,out
74.06,152.01999999999998,out
111.26,86.66999999999999,out
55.54,176.20999999999998,hit
127.37,210.79,out
112.56,70.22,hit
155.57,82.34,out
101.33,151.97,out
158.74,98.58000000000001,out
110.61,165.45,hit
129.47,106.47999999999999,out
148.05,75.66999999999999,out
174.01,153.55,hit
60.29,120.34,out
102.47,78.16999999999999,out
34.43,173.22,hit
203.36,140.34,hit
81.91,124.38,hit
118.12,187.21,out
180.56,130.76999999999998,hit
162.1,122.97,out
110.26,192.99,hit
110.86,94.75999999999999,out
140.38,158.87,out
120.55,184.4,hit
204.37,141.5,out
74.51,173.62,out
162.74,102.71000000000001,out
138.8,79.75999999999999,out
161.36,133.19,out
41.21,160.17000000000002,hit
61.54,126.32,out
76.7,145.15,hit
71.51,162.64,out
139.99,111.22,out
98.76,97.93,out
117.45,149.19,hit
136.08,79.41,out
188.74,138.28,hit
175.47,166.49,out
194.96,141.84,hit
214.62,141.79000000000002,hit
141.6,139.16,hit
79.61,100.09,out
156.86,224.62,hit
137.76,121.28,out
216.75,165.82999999999998,hit
118.17,109.25999999999999,out
128.1,68.03999999999999,out
138.75,105.52000000000001,out
107.5,103.31,out
161.6,83.82,out
40.68,208.93,hit
115.98,116.47,out
163.86,81.78,out
49.83,113.85,hit
133.0,121.97999999999999,out
64.33,211.85,hit
117.25,142.36,out
154.23,110.41999999999999,out
112.95,110.97999999999999,hit
128.69,53.129999999999995,out
84.0,92.0,hit
165.36,69.68,out
165.27,151.73000000000002,hit
105.75,75.62,out
86.08,150.62,out
192.86,142.81,out
140.8,77.07,out
109.0,91.52000000000001,out
129.13,70.07,out
97.0,150.49,hit
101.46,148.6,hit
123.43,170.85,out
94.18,98.97,out
106.98,109.87,out
137.81,154.01999999999998,hit
110.71,84.00999999999999,out
221.39,143.37,hit
151.62,137.15,out
154.8,87.47,out
108.1,122.84,out
147.79,101.63,out
103.48,87.47,out
109.97,56.139999999999986,out
71.6,170.28,hit
162.12,178.73000000000002,hit
119.75,91.15,out
119.3,96.56,out
148.68,173.04000000000002,out
118.95,183.09,out
145.11,90.32,out
151.91,65.07,out
177.11,80.85,out
115.75,59.44999999999999,out
56.12,121.33000000000001,hit
175.55,175.45,out
114.69,153.29000000000002,hit
131.47,67.59,out
142.26,105.93,out
107.12,84.36000000000001,out
156.91,202.71,hit
147.71,73.18,out
119.28,97.28999999999999,out
218.0,135.87,hit
113.0,106.75999999999999,out
130.85,111.4,out
159.55,189.41,out
153.31,77.12,out
110.77,97.88,out
102.55,90.46000000000001,out
172.37,162.45,hit
167.57,151.26,hit
171.67,150.68,out
150.75,103.16999999999999,out
128.7,200.5,out
149.41,103.18,out
117.27,105.21000000000001,hit
121.83,59.44999999999999,out
209.1,146.89,hit
228.38,183.5,hit
70.79,158.51,hit
153.4,82.72999999999999,out
144.95,65.24000000000001,out
146.06,92.36000000000001,out
143.65,90.97,out
120.78,145.82,hit
101.2,175.85,out
112.7,85.38,out
80.61,71.0,out
139.57,116.4,out
150.75,97.58000000000001,out
85.54,199.2,hit
180.1,116.66,out
166.8,140.29000000000002,hit
200.47,126.56,hit
94.93,82.65,out
109.13,161.66,hit
175.22,185.20999999999998,out
101.7,206.46,out
122.62,171.65,out
91.37,82.97,out
138.58,99.21000000000001,out
110.0,100.0,out
63.69,154.54000000000002,out
195.2,138.11,hit
148.4,83.72999999999999,out
53.36,158.53,out
119.66,126.17,out
85.3,148.32999999999998,hit
105.51,85.44999999999999,out
169.3,121.83000000000001,out
164.84,148.13,hit
150.05,111.27000000000001,out
116.42,83.63,out
78.0,136.0,hit
146.9,188.81,out
147.33,167.87,hit
117.04,129.64,hit
105.68,100.69999999999999,out
113.56,112.93,out
80.39,200.12,hit
152.03,88.97,out
