Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
42,Saturday May 21,boxscore,LAA,,OAK,W,5,3,,25-17,2,1.5,Lorenzen,Kolarek,Iglesias,3:12,N,39045,1.27,+,
43,Sunday May 22,boxscore,LAA,,OAK,W,4,1,,26-17,2,1.5,Sandoval,Irvin,Iglesias,2:49,D,40042,1.26,++,
44,Tuesday May 24,boxscore,LAA,,TEX,W,5,3,,27-17,2,1.0,Syndergaard,Dunning,Iglesias,2:30,N,23791,1.28,+++,
45,Wednesday May 25,boxscore,LAA,,TEX,L,2,7,,27-18,2,2.0,Otto,Detmers,,2:49,N,22950,1.27,-,
46,Thursday May 26,boxscore,LAA,,TOR,L,3,6,,27-19,2,2.5,Ryu,Ohtani,,2:56,N,28228,1.28,--,
47,Friday May 27,boxscore,LAA,,TOR,L,3,4,,27-20,2,2.5,Richards,Iglesias,Romano,3:05,N,44641,1.24,---,
48,Saturday May 28,boxscore,LAA,,TOR,L,5,6,,27-21,2,2.5,Cimber,Barraclough,Stripling,3:45,N,34005,1.29,----,
49,Sunday May 29,boxscore,LAA,,TOR,L,10,11,,27-22,2,3.5,Cimber,Quijada,Phelps,4:13,D,36568,1.24,-----,
50,Tuesday May 31,boxscore,LAA,@,NYY,L,1,9,,27-23,2,5.0,Montgomery,Syndergaard,,2:54,N,31242,1.16,------,
51,Thursday Jun 2 (1),boxscore,LAA,@,NYY,L,1,6,,27-24,2,6.5,Cortes,Ohtani,Peralta,3:07,D,30518,1.11,-------,
52,Thursday Jun 2 (2),boxscore,LAA,@,NYY,L,1,2,,27-25,2,6.5,Taillon,Ortega,Holmes,3:08,N,33476,1.08,--------,
53,Friday Jun 3,boxscore,LAA,@,PHI,L,0,10,,27-26,2,7.5,Eflin,Silseth,,2:41,N,28721,.98,---------,
54,Saturday Jun 4,boxscore,LAA,@,PHI,L,2,7,,27-27,2,7.5,Wheeler,Lorenzen,,3:05,N,36313,.89,----------,
55,Sunday Jun 5,boxscore,LAA,@,PHI,L-wo,7,9,,27-28,2,8.5,Knebel,Iglesias,,3:57,D,34801,.87,-----------,
56,Monday Jun 6,boxscore,LAA,,BOS,L,0,1,,27-29,2,8.5,Wacha,Syndergaard,,2:32,N,29395,.87,------------,
57,Tuesday Jun 7,boxscore,LAA,,BOS,L,5,6,10,27-30,2,9.5,Houck,Barria,Strahm,3:56,N,27627,.81,-------------,
58,Wednesday Jun 8,boxscore,LAA,,BOS,L,0,1,,27-31,2,9.5,Eovaldi,Herget,Strahm,3:09,N,26587,.78,--------------,
59,Thursday Jun 9,boxscore,LAA,,BOS,W,5,2,,28-31,2,9.0,Ohtani,Pivetta,Iglesias,3:09,N,28595,.69,+,
60,Friday Jun 10,boxscore,LAA,,NYM,L,3,7,,28-32,2,9.0,Peterson,Diaz,,3:21,N,31499,.68,-,
61,Saturday Jun 11,boxscore,LAA,,NYM,W,11,6,,29-32,2,8.0,Lorenzen,Carrasco,,3:21,N,36408,.61,+,
62,Sunday Jun 12,boxscore,LAA,,NYM,L,1,4,,29-33,3,9.0,Walker,Sandoval,Díaz,3:11,D,36598,.71,-,
63,Tuesday Jun 14,boxscore,LAA,@,LAD,L,0,2,,29-34,3,9.5,Gonsolin,Syndergaard,Kimbrel,2:58,N,51013,.61,--,
64,Wednesday Jun 15,boxscore,LAA,@,LAD,L,1,4,,29-35,3,10.5,Anderson,Detmers,,2:50,N,50812,.53,---,
65,Thursday Jun 16,boxscore,LAA,@,SEA,W,4,1,,30-35,3,10.0,Ohtani,Kirby,Iglesias,2:53,N,21485,.52,+,
66,Friday Jun 17,boxscore,LAA,@,SEA,L,1,8,,30-36,3,11.0,Ray,Lorenzen,,2:37,N,37500,.57,-,
67,Saturday Jun 18 (1),boxscore,LAA,@,SEA,W,4,2,10,31-36,3,9.5,Iglesias,Castillo,Quijada,3:24,D,24071,.49,+,
68,Saturday Jun 18 (2),boxscore,LAA,@,SEA,W,3,0,,32-36,3,9.5,Herget,Milone,Bradley,2:57,N,20804,.50,++,
69,Sunday Jun 19,boxscore,LAA,@,SEA,W,4,0,,33-36,2,9.5,Wantz,Gilbert,,2:44,D,39052,.66,+++,
70,Monday Jun 20,boxscore,LAA,,KCR,L,2,6,,33-37,2,10.0,Bubic,Syndergaard,,2:58,N,22234,.69,-,
71,Tuesday Jun 21,boxscore,LAA,,KCR,L,11,12,11,33-38,3,11.0,Coleman,Quijada,Mengden,4:14,N,20189,.59,--,
72,Wednesday Jun 22,boxscore,LAA,,KCR,W,5,0,,34-38,3,11.0,Ohtani,Lynch,,3:04,N,34792,.52,+,
73,Friday Jun 24,boxscore,LAA,,SEA,L,3,4,,34-39,3,11.5,Flexen,Lorenzen,Sewald,3:41,N,35704,.60,-,
74,Saturday Jun 25,boxscore,LAA,,SEA,L,3,5,,34-40,4,12.5,Gilbert,Bradley,Swanson,3:22,N,35466,.53,--,
75,Sunday Jun 26,boxscore,LAA,,SEA,W,2,1,,35-40,3,11.5,Suarez,Gonzales,Ortega,3:04,D,26489,.44,+,
76,Monday Jun 27,boxscore,LAA,,CHW,W,4,3,,36-40,3,11.0,Syndergaard,Lopez,Iglesias,2:42,N,21973,.48,++,
77,Tuesday Jun 28,boxscore,LAA,,CHW,L,4,11,,36-41,3,12.0,Cueto,Ortega,,3:16,N,23979,.53,-,
78,Wednesday Jun 29,boxscore,LAA,,CHW,W,4,1,,37-41,3,12.0,Ohtani,Kopech,Iglesias,3:21,N,27612,.49,+,
79,Friday Jul 1,boxscore,LAA,@,HOU,L,1,8,,37-42,3,13.5,Javier,Lorenzen,,2:45,N,36420,.54,-,
80,Saturday Jul 2,boxscore,LAA,@,HOU,L,1,9,,37-43,4,14.5,Urquidy,Sandoval,,2:51,D,35332,.47,--,
81,Sunday Jul 3,boxscore,LAA,@,HOU,L-wo,2,4,,37-44,4,15.5,Pressly,Tepera,,3:23,D,36048,.42,---,
82,Tuesday Jul 5,boxscore,LAA,@,MIA,L,1,2,,37-45,4,17.0,Alcantara,Syndergaard,Scott,2:47,N,13338,.34,----,
83,Wednesday Jul 6,boxscore,LAA,@,MIA,W,5,2,,38-45,4,16.0,Ohtani,Rogers,,3:07,N,18741,.27,+,
84,Thursday Jul 7,boxscore,LAA,@,BAL,L,1,4,,38-46,4,17.0,Lyles,Silseth,Lopez,3:00,N,13088,.36,-,
85,Friday Jul 8,boxscore,LAA,@,BAL,L-wo,4,5,,38-47,4,18.0,Tate,Iglesias,,3:30,N,27814,.33,--,
86,Saturday Jul 9,boxscore,LAA,@,BAL,L,0,1,,38-48,4,18.0,Kremer,Sandoval,Lopez,2:59,D,32286,.27,---,
87,Sunday Jul 10,boxscore,LAA,@,BAL,L,5,9,,38-49,4,19.0,Voth,Suarez,,2:48,D,19521,.24,----,
88,Tuesday Jul 12,boxscore,LAA,,HOU,L,5,6,,38-50,4,20.0,Neris,Iglesias,Pressly,3:37,N,27180,.18,-----,
89,Wednesday Jul 13,boxscore,LAA,,HOU,W,7,1,,39-50,4,19.0,Ohtani,Javier,,3:45,N,27803,.15,+,
90,Thursday Jul 14,boxscore,LAA,,HOU,L,2,3,10,39-51,4,20.0,Pressly,Loup,,3:28,N,34496,.15,-,
91,Friday Jul 15,boxscore,LAA,,LAD,L,1,9,,39-52,4,20.0,Kershaw,Sandoval,,3:01,N,44648,.12,--,
92,Saturday Jul 16,boxscore,LAA,,LAD,L,1,7,,39-53,4,21.0,Urias,Suarez,,3:07,N,44728,.07,---,
93,Friday Jul 22,boxscore,LAA,@,ATL,L,1,8,,39-54,4,22.5,Lee,Ohtani,,2:59,N,42867,.06,----,
94,Saturday Jul 23,boxscore,LAA,@,ATL,L,2,7,,39-55,4,23.5,Wright,Sandoval,,3:01,N,42827,.04,-----,
95,Sunday Jul 24,boxscore,LAA,@,ATL,W,9,1,,40-55,4,23.5,Detmers,Anderson,,3:17,D,42663,.04,+,
96,Monday Jul 25,boxscore,LAA,@,KCR,L,0,7,,40-56,4,23.5,Garrett,Syndergaard,,3:03,N,16616,.05,-,
97,Tuesday Jul 26,boxscore,LAA,@,KCR,W,6,0,,41-56,4,22.5,Suarez,Zerpa,,3:24,N,20834,.04,+,
98,Wednesday Jul 27,boxscore,LAA,@,KCR,W,4,0,,42-56,4,21.5,Junk,Keller,,2:48,D,12596,.05,++,
99,Thursday Jul 28,boxscore,LAA,,TEX,L,0,2,,42-57,4,22.5,Howard,Ohtani,Moore,2:47,N,29718,.06,-,
100,Friday Jul 29,boxscore,LAA,,TEX,L,2,7,,42-58,4,23.5,Perez,Sandoval,,3:13,N,29906,.05,--,
101,Saturday Jul 30,boxscore,LAA,,TEX,W,9,7,,43-58,4,22.5,Toussaint,Martin,Iglesias,3:04,N,32968,.04,+,
